"","congress","speaker","position","party","date"
"132","1992_duesseldorf","Bernd Schneider",0.222261449193001,"CDU","10/26/1992"
"133","1992_duesseldorf","Berndt Seite",0.44167496256908,"CDU","10/26/1992"
"134","1992_duesseldorf","Bernhard Vogel",0.145609438217933,"CDU","10/26/1992"
"135","1992_duesseldorf","Bodo Henningsen",0.145147514390648,"CDU","10/26/1992"
"136","1992_duesseldorf","Bruno Orth",0.376801806234219,"CDU","10/26/1992"
"137","1992_duesseldorf","Christa Reichard",-0.00292580575320001,"CDU","10/26/1992"
"138","1992_duesseldorf","Christa Thoben",0.705570532145327,"CDU","10/26/1992"
"139","1992_duesseldorf","Christian Metzeroth",0.337663411751049,"CDU","10/26/1992"
"140","1992_duesseldorf","Christian Schede",0.890026650628406,"CDU","10/26/1992"
"141","1992_duesseldorf","Christian Schwarz-Schilling",-2.23916040284641,"CDU","10/26/1992"
"142","1992_duesseldorf","Christian Wulff",0.254196367564881,"CDU","10/26/1992"
"143","1992_duesseldorf","Christine Lieberknecht",0.206888279128253,"CDU","10/26/1992"
"144","1992_duesseldorf","Christoph Bergner",-0.091366833327215,"CDU","10/26/1992"
"145","1992_duesseldorf","Clemens-August Krapp",0.239404959152283,"CDU","10/26/1992"
"146","1992_duesseldorf","Diemut Theato",0.827377021314248,"CDU","10/26/1992"
"147","1992_duesseldorf","Dieter Dombrowski",0.370638992998409,"CDU","10/26/1992"
"148","1992_duesseldorf","Dieter Lorenz",0.238290486968519,"CDU","10/26/1992"
"149","1992_duesseldorf","Doris Pack",0.861320228403611,"CDU","10/26/1992"
"150","1992_duesseldorf","Eberhard Diepgen",-2.36138073551024,"CDU","10/26/1992"
"151","1992_duesseldorf","Eckhard Wälzholz",0.407994320610864,"CDU","10/26/1992"
"152","1992_duesseldorf","Editha Limbach",0.393201894021973,"CDU","10/26/1992"
"153","1992_duesseldorf","Egon Hohenberger",0.126307602660899,"CDU","10/26/1992"
"154","1992_duesseldorf","Elmar Brok",1.18217120030294,"CDU","10/26/1992"
"155","1992_duesseldorf","Elmar Pieroth",-2.41195151875967,"CDU","10/26/1992"
"156","1992_duesseldorf","Erich Fritz",0.539523867289546,"CDU","10/26/1992"
"157","1992_duesseldorf","Erwin Teufel",0.282876910414506,"CDU","10/26/1992"
"158","1992_duesseldorf","Ferdinand Tillmann",0.201074840504515,"CDU","10/26/1992"
"159","1992_duesseldorf","Frank Baumeister",0.499261461296007,"CDU","10/26/1992"
"160","1992_duesseldorf","Franz-Josef Leikop",0.0739080594924568,"CDU","10/26/1992"
"161","1992_duesseldorf","Friedbert Pflüger",0.93070993596637,"CDU","10/26/1992"
"162","1992_duesseldorf","Friedhelm Ost",0.608219897334268,"CDU","10/26/1992"
