"speaker","congress"
"Herbert Reul","1995_karlsruhe"
"Hildegard Müller","1995_karlsruhe"
"Hubert Hüppe","1995_karlsruhe"
"Hubert Markl","1995_karlsruhe"
"Josef Hofmann","1995_karlsruhe"
"Jürgen Rüttgers","1995_karlsruhe"
"Karl von Wogau","1995_karlsruhe"
"Klaus Eltner","1995_karlsruhe"
"Klaus Escher","1995_karlsruhe"
"Klaus-Peter Hesse","1995_karlsruhe"
"Kurt Bledenkopf","1995_karlsruhe"
"Leo Lennartz","1995_karlsruhe"
"Ludger Kühnhardt","1995_karlsruhe"
"Michel Friedman","1995_karlsruhe"
"Norbert Blüm","1995_karlsruhe"
"Ottfried Hennig","1995_karlsruhe"
"Peter Hintze","1995_karlsruhe"
"Peter Kittelmann","1995_karlsruhe"
"Peter Liese","1995_karlsruhe"
"Petra Roth","1995_karlsruhe"
"Rainer Eppelmann","1995_karlsruhe"
"Reinhard Göhner","1995_karlsruhe"
"Renate Breuning","1995_karlsruhe"
"Renate Hellwig","1995_karlsruhe"
"Rita Süssmuth","1995_karlsruhe"
"Rolf Berend","1995_karlsruhe"
"Rolf Kurz","1995_karlsruhe"
"Rudi Geil","1995_karlsruhe"
"Rudolf Seiters","1995_karlsruhe"
"Rupert Scholz","1995_karlsruhe"
"Thomas Mann","1995_karlsruhe"
"Ursula Hölng","1995_karlsruhe"
"Volker Rühe","1995_karlsruhe"
"Wichard von Heyden","1995_karlsruhe"
"Wolfgang Frühwald","1995_karlsruhe"
"Wolfgang Reinhart","1995_karlsruhe"
"Wolgang Schäuble","1995_karlsruhe"
"Alexander Graf von Schwerin","1996_hannover"
"Andreas Renner","1996_hannover"
"Andreas Trautvetter","1996_hannover"
"Angela Merkel","1996_hannover"
"Anne-Karin Glase","1996_hannover"
"Arnold Vaatz","1996_hannover"
"Berndt Seite","1996_hannover"
"Bernhard Vogel","1996_hannover"
"Birgit Schnieber-Jastram","1996_hannover"
"Brigitte Baumeister","1996_hannover"
"Christa Thoben","1996_hannover"
"Christian Schwarz-Schilling","1996_hannover"
"Christian Wulff","1996_hannover"
"Christine Lieberknecht","1996_hannover"
"Christoph Bergner","1996_hannover"
"Claudia NoIte","1996_hannover"
"Claus Jäger","1996_hannover"
"Cornelia Yzer","1996_hannover"
"Eberhard Baumbusch","1996_hannover"
"Eberhard Diepgen","1996_hannover"
"Erhard Keppier","1996_hannover"
"Florian Schuck","1996_hannover"
"Franz Möller","1996_hannover"
"Friedrich Merz","1996_hannover"
"Fritz Günzler","1996_hannover"
"Georg Milbradt","1996_hannover"
"Gisela Meister-Scheufelen","1996_hannover"
"Godelieve Quisthoudt-Rowohl","1996_hannover"
"Gunnar Uldall","1996_hannover"
"Hans Burggraf","1996_hannover"
"Hans-Jürgen Doss","1996_hannover"
"Hans-Peter Repnik","1996_hannover"
"Hartmut Möllring","1996_hannover"
